"","eventID","eventID.temp","eventIDnew","response.eventID","event.start.ts","event.end.ts","event.dur","event.Q.tot.m3","event.baseflow.tot.m3","event.quickflow.tot.m3","rain.start.ts","rain.eventn","rain.mean","rain.peak.mm.h","rain.peak.ts","rain.tot.mm","rain.dur","init.rain.mean","init.rain.peak.mm.h","init.rain.peak.ts","init.rain.centroid.ts","init.rain.tot.mm","init.rain.dur","Q.response.start.ts","Q.response.end.ts","Q.response.dur","Q.response.tot.m3","Q.response.base.m3","Q.response.quick.m3","Q.nopeaks","Q.peak.m3.s","Q.peak.ts","Q.peak.rank","Q.QXX","lag.start.dur","lag.peak.dur","lag.peakinit.dur","rlimb.dur","flimb.dur","rlimb.rain","interevent.dur","interevent.rainfall.tot.mm","interevent.Q.median","anti.rain.mm3h","anti.rain.mm6h","anti.rain.mm12h","anti.rain.mm24h","anti.rain.mm5d","anti.rain.mm30d","Q.dur","quickflow.start.ts","quickflow.end.ts","quickflow.dur","check.outlier1","check.outlier2","check.outlier3","check.manual"
"1",1,1,1,NA,2015-11-16 15:15:00,2015-11-17 05:45:00,52200s (~14.5 hours),5274.9610587,1693.10853722931,3581.85252147069,2015-11-16 15:15:00,1,0,0,2015-11-16 23:30:00,0,0s,NA,-Inf,2015-11-16 23:30:00,NA,0,52200s (~14.5 hours),2015-11-16 20:00:00,2015-11-17 05:45:00,35100s (~9.75 hours),4526.6445288,1173.87084329304,3352.77368550696,1,0.49137104,2015-11-16 21:15:00,0.893,"Q15",17100,-8100,-8100,4500s (~1.25 hours),30600s (~8.5 hours),0,NA,0,0.079959382,0,0,0,0,0,0,52200,1447686900,1447739100,52200,NA,FALSE,FALSE,FALSE
"2",2,2,2,NA,2015-11-18 23:00:00,2015-11-19 20:45:00,78300s (~21.75 hours),3754.3863708,2494.21919587732,1260.16717492268,2015-11-18 23:00:00,2,0.219540505147727,1.798705935,2015-11-19 06:00:00,4.82989111325,63900s (~17.75 hours),0.281699990522388,1.798705935,2015-11-19 06:00:00,2015-11-19 06:00:00,4.71847484125,59400s (~16.5 hours),2015-11-19 08:00:00,2015-11-19 20:45:00,45900s (~12.75 hours),2676.7169208,1494.18173774759,1182.53518305241,1,0.11948064,2015-11-19 11:15:00,0.764,"Q25",32400,18900,18900,11700s (~3.25 hours),34200s (~9.5 hours),4.409562498,146700s (~1.7 days),2.02906641875,0.031024955,0.025831369,0.025831369,0.85303772875,0.85303772875,2.050252347,2.050252347,78300,1447887600,1447965900,78300,NA,FALSE,FALSE,FALSE
"3",3,3,3,NA,2015-11-19 21:30:00,2015-11-20 16:00:00,66600s (~18.5 hours),3460.0734756,2390.61333220943,1069.46014339057,2015-11-19 21:30:00,3,0.441006674786667,1.726605256,2015-11-19 23:30:00,8.26887515225,50400s (~14 hours),0.64719142734,1.726605256,2015-11-19 23:30:00,2015-11-20 03:00:00,8.08989284175,44100s (~12.25 hours),2015-11-20 01:00:00,2015-11-20 16:00:00,54000s (~15 hours),3014.1826128,1963.46198877375,1050.72062402625,1,0.07699105,2015-11-20 06:30:00,0.675,"Q35",12600,25200,25200,19800s (~5.5 hours),34200s (~9.5 hours),7.0980207855,900s (~15 minutes),0,0.03671565,0.107404874,0.1247185515,1.251549525,4.847275941,6.871696919,6.871696919,66600,1447968600,1448035200,66600,NA,FALSE,FALSE,FALSE
"4",4,4,4,NA,2015-11-21 07:15:00,2015-11-21 16:30:00,33300s (~9.25 hours),1463.8852269,1278.59295177759,185.292275122405,2015-11-21 07:15:00,2,0.256698445368421,2.855577007,2015-11-21 10:00:00,2.438635231,18000s (~5 hours),0.613159016266667,2.855577007,2015-11-21 10:00:00,2015-11-21 09:45:00,2.299346311,12600s (~3.5 hours),2015-11-21 10:00:00,2015-11-21 16:30:00,23400s (~6.5 hours),1098.1776429,913.709390344537,184.468252555463,0,0.05482,2015-11-21 12:00:00,0.588,"Q45",9900,7200,7200,7200s (~2 hours),16200s (~4.5 hours),2.31933530475,53100s (~14.75 hours),2.66272324725,0.038006229,0.97910182225,1.24352358025,2.20249095325,3.712236412,17.849183679,17.849183679,33300,1448090100,1448123400,33300,NA,FALSE,TRUE,FALSE
"5",5,5,5,NA,2015-11-22 15:15:00,2015-11-24 17:00:00,179100s (~2.07 days),8146.9551573,6530.50019400095,1616.45496329905,2015-11-22 15:15:00,4,0.09646816768,1.883734266,2015-11-24 01:30:00,4.823408384,37800s (~10.5 hours),0.0544297706666667,0.130913526,2015-11-22 15:45:00,2015-11-22 15:30:00,0.040822328,1800s (~30 minutes),2015-11-23 17:15:00,2015-11-24 17:00:00,85500s (~23.75 hours),4746.8184687,3201.17277405314,1545.64569464686,1,0.125112671,2015-11-24 03:15:00,0.773,"Q25",93600,6300,127800,36000s (~10 hours),49500s (~13.75 hours),4.677364756,80100s (~22.25 hours),4.590223989,0.04061904,0.05025235625,0.77139622675,2.564262984,4.6122542575,23.62304487225,24.8202594905,179100,1448205300,1448384400,179100,NA,TRUE,FALSE,FALSE
"6",6,6,6,NA,2015-11-26 07:00:00,2015-11-27 23:45:00,146700s (~1.7 days),6453.0160119,5513.50211712569,939.513894774309,2015-11-26 07:00:00,4,0.113113531426667,4.155965249,2015-11-27 17:30:00,4.2417574285,28800s (~8 hours),0.0816446555,0.112331763,2015-11-26 07:00:00,2015-11-26 07:00:00,0.04082232775,900s (~15 minutes),2015-11-27 07:45:00,2015-11-27 23:45:00,57600s (~16 hours),3128.670387,2196.19201650045,932.47837049955,1,0.106904484,2015-11-27 17:30:00,0.742,"Q30",89100,0,124200,35100s (~9.75 hours),22500s (~6.25 hours),3.76885373475,135000s (~1.56 days),1.5672348125,0.041543502,0.043989387,0.06045872575,0.06045872575,0.6388280165,13.44758535725,31.23814128875,146700,1448521200,1448667900,146700,NA,TRUE,FALSE,FALSE
"7",7,7,7,NA,2015-11-28 10:15:00,2015-11-29 11:15:00,90000s (~1.04 days),5364.1021212,3570.62963133761,1793.47248986239,2015-11-28 10:15:00,4,0.342343364425743,6.040528456,2015-11-28 19:30:00,8.64416995175,50400s (~14 hours),0.677474961038461,2.509860138,2015-11-28 16:15:00,2015-11-28 12:30:00,4.40358724675,22500s (~6.25 hours),2015-11-28 13:00:00,2015-11-29 11:15:00,80100s (~22.25 hours),4989.4456824,3200.99222070945,1788.45346169055,2,0.144893609,2015-11-28 20:45:00,0.799,"Q25",9900,4500,16200,27900s (~7.75 hours),52200s (~14.5 hours),6.4275813795,36000s (~10 hours),1.483307741,0.037310646,0.4533969845,1.141531018,1.50941740275,5.69121100275,12.081854199,36.9420916785,90000,1448705700,1448795700,90000,NA,FALSE,FALSE,FALSE
"8",8,8,8,NA,2015-12-03 12:30:00,2015-12-04 21:15:00,117900s (~1.36 days),5332.9284639,4369.05106433873,963.877399561267,2015-12-03 12:30:00,1,0.217559383227273,5.227585288,2015-12-03 19:30:00,7.1794596465,30600s (~8.5 hours),0.869077250757576,5.227585288,2015-12-03 19:30:00,2015-12-03 16:00:00,7.16988731875,28800s (~8 hours),2015-12-03 15:15:00,2015-12-04 21:15:00,108000s (~1.25 days),4900.6751319,3972.8731137827,927.802018117301,2,0.081286064,2015-12-03 21:30:00,0.688,"Q35",9900,7200,7200,22500s (~6.25 hours),85500s (~23.75 hours),7.16988731875,348300s (~4.03 days),4.0998801135,0.04530975,0.18370521075,0.18370521075,0.18370521075,2.48459475,11.03607568125,49.7535006345,117900,1449145800,1449263700,117900,NA,FALSE,FALSE,FALSE
"9",9,9,9,NA,2015-12-07 15:45:00,2015-12-08 21:00:00,105300s (~1.22 days),3932.058159,3332.78464297463,599.273516025375,2015-12-07 15:45:00,5,0.222948376033898,2.642196496,2015-12-07 18:45:00,6.576977093,46800s (~13 hours),0.649699867730769,2.642196496,2015-12-07 18:45:00,2015-12-07 19:00:00,4.22304914025,22500s (~6.25 hours),2015-12-07 19:00:00,2015-12-08 21:00:00,93600s (~1.08 days),3530.6446437,2946.63349831249,584.011145387513,1,0.062691421,2015-12-07 22:00:00,0.624,"Q40",11700,11700,11700,10800s (~3 hours),82800s (~23 hours),4.22304914025,237600s (~2.75 days),1.07840644725,0.035696852,0.04194811475,0.04194811475,0.04194811475,0.3973828685,10.07438379275,57.97898779125,105300,1449503100,1449608400,105300,NA,FALSE,FALSE,FALSE
"10",10,10,10,NA,2015-12-09 20:45:00,2015-12-11 21:45:00,176400s (~2.04 days),5886.0503811,5501.86341407112,384.186967028875,2015-12-09 20:45:00,5,0.0772411724720812,1.581366301,2015-12-10 19:15:00,3.80412774425,57600s (~16 hours),0.1378105355,0.202704407,2015-12-09 21:00:00,2015-12-09 20:45:00,0.06890526775,900s (~15 minutes),2015-12-10 07:00:00,2015-12-11 21:45:00,139500s (~1.61 days),4734.0619722,4370.86695453156,363.195017668441,0,0.046166601,2015-12-10 20:30:00,0.527,"Q50",36900,4500,84600,48600s (~13.5 hours),90900s (~1.05 days),3.22023152225,83700s (~23.25 hours),0.03681092825,0.030430762,0.018229166,0.018229166,0.05504009425,0.06433097575,7.7104236345,64.56905686375,176400,1449693900,1449870300,176400,NA,FALSE,TRUE,FALSE
